"identifier","title","priority","status","assignee","assignment_status","p_level","updated_at"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","Founding Engineer","assigned","P0","2026-04-03T15:28:33.110Z"
"BET-354","Bug: /pricing/ returns 404, blocking Stripe checkout entry","critical","in_review","Shank","assigned","P0","2026-04-03T19:24:00.969Z"
"BET-476","Bug: $32/event checkout bypasses Stripe and creates live event directly","critical","in_review","Shank","assigned","P0","2026-04-03T23:15:09.199Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","Founding Engineer","assigned","P0","2026-04-03T15:04:46.893Z"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","Founding Engineer","assigned","P0","2026-04-03T16:15:40.318Z"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","todo","Founding Engineer","assigned","P0","2026-04-03T18:13:36.897Z"
"BET-124","Bug: /guides internal links return 404 from guide article pages","high","backlog","Founding Engineer","assigned","P1","2026-04-03T14:18:53.944Z"
"BET-131","Bug: /pricing still shows $9.99/mo Season Pass conflicting with canonical pricing","high","backlog","Founding Engineer","assigned","P1","2026-04-03T14:35:04.533Z"
"BET-188","Bug: /guides/ breadcrumb link 404s from live guide pages","high","backlog","Founding Engineer","assigned","P1","2026-04-03T14:44:20.000Z"
"BET-203","Bug: /pro course search returns no results due API response mismatch","high","backlog","Divot","assigned","P1","2026-04-03T14:56:03.004Z"
"BET-205","Bug: /pro mobile violates 56px touch target and minimum text size requirements","high","backlog","Divot","assigned","P1","2026-04-03T14:56:24.084Z"
"BET-206","Bug: Affiliate dashboard link from /pro signup drops referral code via /affiliate redirect","high","backlog","Founding Engineer","assigned","P1","2026-04-03T14:56:34.547Z"
"BET-252","Bug: Wolf settlement can be non-zero-sum in computeRoundPnL for 4+ player states","high","backlog","Ace","assigned","P1","2026-04-03T21:34:31.306Z"
"BET-253","Bug: Best ball settlement path missing from computeRoundPnL (returns $0 for all players)","high","backlog","Ace","assigned","P1","2026-04-03T15:42:54.527Z"
"BET-255","Bug: Internal links resolve to templated placeholder URLs that 404","high","backlog","Founding Engineer","assigned","P1","2026-04-03T15:42:54.598Z"
"BET-263","Bug: Core marketing pages fail 56px touch target and minimum text-size standard on mobile","high","backlog","Divot","assigned","P1","2026-04-03T15:51:33.511Z"
"BET-299","Bug: /about/ redirect target /overview/ loops and never resolves","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:26:19.366Z"
"BET-300","Bug: Internal /cards/* links on games pages return 404","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:26:19.497Z"
"BET-301","Bug: Literal template link /courses/${c.id} is rendered and 404s","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:26:19.685Z"
"BET-303","Bug: /pricing/ route returns 404 while used as QA target page","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:26:19.794Z"
"BET-305","Bug: /overview/ route self-redirects (307 -> /overview/) and never resolves","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:35:44.287Z"
"BET-306","Bug: /tour/ route self-redirects (307 -> /tour/) while linked across games/guides","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:35:44.332Z"
"BET-307","Bug: Demo game-card links resolve to 404 (/cards/skins, /cards/nassau, /cards/wolf, /cards/match-play, /cards/scramble)","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:35:44.385Z"
"BET-310","Bug: /courses/ emits unresolved template link /courses/${c.id} leading to 404","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:35:44.810Z"
"BET-315","Bug: /pricing/ returns 404 and breaks checkout success/cancel destination","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:44:08.005Z"
"BET-316","Bug: Homepage route /b/ shows stale pricing copy ($149 per event)","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:44:14.488Z"
"BET-317","Bug: Broken internal links to /cards/* from demo and homepage format sections","high","backlog","Founding Engineer","assigned","P1","2026-04-03T16:44:08.949Z"
"BET-337","Bug: Homepage and demo link to /cards/* routes that return 404","high","backlog","Founding Engineer","assigned","P1","2026-04-03T17:50:03.732Z"
"BET-339","Bug: Settlement P&L computation omits best ball mode","high","backlog","Ace","assigned","P1","2026-04-03T17:50:03.944Z"
"BET-346","Bug: Homepage and demo 'See it in action' links route to 404 card pages","high","backlog","Founding Engineer","assigned","P1","2026-04-03T18:09:14.480Z"
"BET-356","Bug: Homepage and demo link to /cards/* routes that return 404","high","backlog","Founding Engineer","assigned","P1","2026-04-03T18:40:38.168Z"
"BET-358","Bug: Create flow review card shows $29 for event pricing instead of $32/event","high","backlog","Founding Engineer","assigned","P1","2026-04-03T18:29:54.460Z"
"BET-362","Bug: /pricing/ route returns 404","high","backlog","Founding Engineer","assigned","P1","2026-04-03T18:43:13.875Z"
"BET-363","Bug: Demo Game Cards links point to 404 pages (/cards/*)","high","backlog","Founding Engineer","assigned","P1","2026-04-03T18:43:13.950Z"
"BET-371","Bug: /affiliate/ serves 200 soft redirect instead of HTTP canonical redirect to /affiliates/","high","backlog","Founding Engineer","assigned","P1","2026-04-03T19:13:28.203Z"
"BET-372","Bug: Pricing page violates 56px mobile touch-target requirement on core CTAs","high","backlog","Divot","assigned","P1","2026-04-03T19:22:42.786Z"
"BET-373","Bug: Horizontal scroll present on homepage at 375px mobile viewport","high","backlog","Divot","assigned","P1","2026-04-03T19:22:42.829Z"
"BET-374","Bug: Demo odds do not visibly update during auto-simulation on demo-skins","high","backlog","Ace","assigned","P1","2026-04-03T19:22:42.860Z"
"BET-375","Bug: Checkout success endpoint returns raw JSON errors instead of user-friendly error page","high","backlog","Shank","assigned","P1","2026-04-03T19:22:42.901Z"
"BET-377","Bug: Both /affiliate/ and /affiliates/ are live 200 routes causing duplicate canonical paths","high","backlog","Divot","assigned","P1","2026-04-03T19:37:07.874Z"
"BET-384","Bug: Best ball game type has no settlement payout path (returns all-zero PnL)","high","backlog","Ace","assigned","P1","2026-04-03T19:23:55.574Z"
"BET-409","Bug: Settlement zero-sum fails in skins/match_play/stableford and partial-round scenarios","high","backlog","Ace","assigned","P1","2026-04-03T19:57:39.596Z"
"BET-410","Bug: Mobile touch targets below 56px on pricing and game-guide pages","high","backlog","Divot","assigned","P1","2026-04-03T19:57:39.636Z"
"BET-411","Bug: Mobile text readability below minimum font sizes on demo/pricing","high","backlog","Divot","assigned","P1","2026-04-03T19:57:39.669Z"
"BET-412","Bug: Homepage horizontal overflow at 375px viewport","high","backlog","Founding Engineer","assigned","P1","2026-04-03T19:57:39.708Z"
"BET-413","Bug: Duplicate affiliate routes both active (/affiliate/ and /affiliates/)","high","backlog","Founding Engineer","assigned","P1","2026-04-03T19:57:39.742Z"
"BET-414","Bug: Fresh demo load requests missing favicon.ico (404)","high","backlog","Founding Engineer","assigned","P1","2026-04-03T19:57:39.774Z"
"BET-416","Bug: Legacy game URLs redirect to mismatched game guides","high","backlog","Founding Engineer","assigned","P1","2026-04-03T19:57:54.143Z"
"BET-417","Bug: /courses/ cards link to literal template path /courses/${c.id} and 404","high","backlog","Founding Engineer","assigned","P1","2026-04-03T21:34:31.373Z"
"BET-429","Bug: Settlement zero-sum fails in skins/match-play/stableford and partial-round suites","high","backlog","Ace","assigned","P1","2026-04-03T20:23:49.041Z"
"BET-434","Bug: Both /affiliate/ and /affiliates/ are live, creating canonical route conflict","high","backlog","Founding Engineer","assigned","P1","2026-04-03T20:33:46.432Z"
"BET-447","Bug: Both /affiliate/ and /affiliates/ resolve as live pages","high","backlog","Founding Engineer","assigned","P1","2026-04-03T21:01:08.912Z"
"BET-448","Bug: Mobile typography below 14px body threshold on key pages","high","backlog","Divot","assigned","P1","2026-04-03T21:01:08.957Z"
"BET-449","Bug: Settlement zero-sum violations in skins, match_play, and stableford (net flow -$250/-$325)","high","backlog","Ace","assigned","P1","2026-04-03T21:07:03.151Z"
"BET-451","Bug: Demo odds remain static (no visible auto-simulation updates on demo event pages)","high","backlog","Founding Engineer","assigned","P1","2026-04-03T21:07:03.188Z"
"BET-477","Bug: runSettlementTests still fails 20/44 after fixture-ID patch (zero-sum violations remain)","high","backlog","Ace","assigned","P1","2026-04-03T22:47:55.088Z"
"BET-505","Bug: Game detail routes return 404 for stroke-play, round-robin, and chapman","high","backlog","Founding Engineer","assigned","P1","2026-04-03T23:24:48.760Z"
"BET-506","Bug: /courses page renders literal /courses/${c.id} links that 404","high","backlog","Founding Engineer","assigned","P1","2026-04-03T23:24:23.725Z"
"BET-508","Bug: /api/checkout/success returns raw JSON errors instead of user-friendly HTML state","high","backlog","Shank","assigned","P1","2026-04-03T23:24:40.742Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","Shank","assigned","P1","2026-04-03T20:54:27.182Z"
"BET-391","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","high","blocked","Ace","assigned","P1","2026-04-03T20:25:00.802Z"
"BET-403","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","high","blocked","Ace","assigned","P1","2026-04-03T20:35:56.252Z"
"BET-432","Bug: Skins tie settlement breaks zero-sum and logs uncorrectable violation","high","blocked","Ace","assigned","P1","2026-04-03T22:36:25.405Z"
"BET-433","Bug: Nassau partial-round final states never settle (bets remain active after 9 holes)","high","blocked","Ace","assigned","P1","2026-04-03T21:35:02.611Z"
"BET-438","Bug: Settlement payout math omits Wolf, Match Play, Best Ball, and Stableford from settlement totals","high","blocked","Ace","assigned","P1","2026-04-03T20:41:06.127Z"
"BET-444","Bug: Mobile Safari/Chrome QA blocked because browser runtime deps are missing in Spotter runner","high","blocked","Founding Engineer","assigned","P1","2026-04-03T20:49:37.835Z"
"BET-458","Bug: runSettlementTests() produces widespread zero-sum failures due to fixture selection mismatch","high","blocked","Ace","assigned","P1","2026-04-03T21:20:24.706Z"
"BET-472","Bug: Settlement math not zero-sum for skins and wolf tie scenarios across 2/3/4/8 players","high","blocked","Ace","assigned","P1","2026-04-03T22:42:04.009Z"
"BET-473","Bug: Partial-round settlement breaks zero-sum in skins, best ball, wolf, and selected match play/stableford cases","high","blocked","Ace","assigned","P1","2026-04-03T22:44:09.119Z"
"BET-499","Bug: Settlement engine still violates zero-sum in 20/44 matrix scenarios, including partial rounds","high","blocked","Wedge","assigned","P1","2026-04-03T23:18:48.009Z"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","Founding Engineer","assigned","P1","2026-04-03T16:02:30.729Z"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","in_progress","Founding Engineer","assigned","P1","2026-04-03T17:46:42.045Z"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","high","in_progress","Founding Engineer","assigned","P1","2026-04-03T18:23:07.648Z"
"BET-491","Bug: /games/chapman/ returns 404","high","in_progress","Founding Engineer","assigned","P1","2026-04-03T23:15:08.258Z"
"BET-498","Bug: Legacy conversion URLs return 404 on production (/join, /about, and 3 game URLs)","high","in_progress","Founding Engineer","assigned","P1","2026-04-03T23:26:27.286Z"
"BET-243","Bug: /api/ghin/debug endpoint is publicly reachable in production","high","in_review","Shank","assigned","P1","2026-04-03T19:32:07.707Z"
"BET-496","Bug: 'Final results' demo settlement screen shows no scored data","high","in_review","Shank","assigned","P1","2026-04-03T23:21:08.206Z"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","Founding Engineer","assigned","P1","2026-04-03T16:04:34.140Z"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","Founding Engineer","assigned","P1","2026-04-03T16:23:49.664Z"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","todo","Founding Engineer","assigned","P1","2026-04-03T23:27:41.355Z"
"BET-366","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","high","todo","Founding Engineer","assigned","P1","2026-04-03T18:59:01.331Z"
"BET-501","Bug: Game format links 404 on /games/ (stroke play, round robin, chapman)","high","todo","Founding Engineer","assigned","P1","2026-04-03T23:16:14.805Z"
"BET-509","Spotter QA sweep: mobile/link/demo/pricing verification for core pages","high","todo","Spotter","assigned","P1","2026-04-03T23:27:10.329Z"
