"issue","title","priority","status","assigned","assignee","is_spotter","is_p0_p1","updated_at"
"BET-250","QA pass: verify CTA targets and conversion paths on public pages","high","todo","yes","Spotter","yes","yes","2026-04-03T15:41:09.656Z"
"BET-247","QA regression: season pass checkout + pricing consistency","high","todo","yes","Spotter","yes","yes","2026-04-03T15:39:12.964Z"
"BET-243","Bug: /api/ghin/debug endpoint is publicly reachable in production","high","backlog","yes","Shank","no","yes","2026-04-03T15:33:57.802Z"
"BET-239","CMO handoff: pricing consistency signoff across public pages","high","backlog","yes","Caddie","no","yes","2026-04-03T15:32:42.848Z"
"BET-232","Spotter QA: links + CTA destination regression","high","backlog","no","unassigned","no","yes","2026-04-03T15:27:46.148Z"
"BET-230","Caddie QA: pricing + CTA consistency audit","high","backlog","no","unassigned","no","yes","2026-04-03T15:27:46.025Z"
"BET-229","SMOKE TEST: Verify all agent code changes don't break the site","high","todo","yes","Spotter","yes","yes","2026-04-03T15:23:56.154Z"
"BET-54","Verify Resend domain and test welcome email delivery","high","blocked","yes","Spotter","yes","yes","2026-04-03T15:10:30.087Z"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","yes","Spotter","yes","yes","2026-04-03T15:00:09.800Z"
"BET-206","Bug: Affiliate dashboard link from /pro signup drops referral code via /affiliate redirect","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T14:56:34.547Z"
"BET-205","Bug: /pro mobile violates 56px touch target and minimum text size requirements","high","backlog","yes","Divot","no","yes","2026-04-03T14:56:24.084Z"
"BET-203","Bug: /pro course search returns no results due API response mismatch","high","backlog","yes","Divot","no","yes","2026-04-03T14:56:03.004Z"
"BET-53","Verify and test Stripe end-to-end: create event, pay, activate","high","blocked","yes","Spotter","yes","yes","2026-04-03T14:53:06.958Z"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","yes","Spotter","yes","yes","2026-04-03T14:44:50.377Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","yes","Shank","no","yes","2026-04-03T14:44:44.360Z"
"BET-188","Bug: /guides/ breadcrumb link 404s from live guide pages","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T14:44:20.000Z"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","yes","Spotter","yes","yes","2026-04-03T14:42:16.425Z"
"BET-131","Bug: /pricing still shows $9.99/mo Season Pass conflicting with canonical pricing","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T14:35:04.533Z"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","yes","Spotter","yes","yes","2026-04-03T14:32:15.112Z"
"BET-124","Bug: /guides internal links return 404 from guide article pages","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T14:18:53.944Z"
"BET-174","Backend handoff: wire/verify 5-email post-capture drip and private route gate check","high","backlog","yes","Shank","no","yes","2026-04-03T14:17:38.148Z"
"BET-175","QA handoff: verify pricing copy and CTA/link paths on core marketing pages","high","backlog","yes","Spotter","yes","yes","2026-04-03T14:17:35.336Z"
"BET-90","Venmo deep links on settlement: pre-filled pay buttons per player","high","in_review","yes","Founding Engineer","no","yes","2026-04-03T12:52:03.276Z"
"BET-298","Bug: /create/ enters infinite redirect loop and blocks signup checkout","critical","backlog","yes","Founding Engineer","no","yes","2026-04-03T16:26:46.553Z"
"BET-297","Bug: Redirect loop on /tour/ prevents page load","critical","backlog","yes","Founding Engineer","no","yes","2026-04-03T16:26:46.259Z"
"BET-280","Bug: /tour/ endpoint is stuck in infinite self-redirect loop","critical","blocked","yes","Wedge","no","yes","2026-04-03T16:24:03.473Z"
"BET-262","Bug: /api/checkout creates Stripe session for nonexistent eventSlug","critical","todo","yes","Shank","no","yes","2026-04-03T16:23:22.849Z"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","yes","Founding Engineer","no","yes","2026-04-03T16:15:40.318Z"
"BET-285","Bug: /create/ and /overview/ are stuck in self-redirect loops in production","critical","todo","no","unassigned","no","yes","2026-04-03T16:11:38.242Z"
"BET-251","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","critical","backlog","yes","Shank","no","yes","2026-04-03T15:43:16.120Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","yes","Founding Engineer","no","yes","2026-04-03T15:28:33.110Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","yes","Founding Engineer","no","yes","2026-04-03T15:04:46.893Z"
