"identifier","priority","status","assignee","title","updated_at"
"BET-192","critical","todo","Founding Engineer","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","2026-04-03T15:04:46.893Z"
"BET-425","high","backlog","Shank","Bug: Duplicate affiliate email submission returns 429 instead of graceful success","2026-04-03T20:16:51.929Z"
"BET-424","high","in_progress","Founding Engineer","Bug: /tour mobile ""Try the Demo"" nav link fails 56px touch-target requirement","2026-04-03T20:14:33.537Z"
"BET-417","high","backlog","Founding Engineer","Bug: /courses/ cards link to literal template path /courses/${c.id} and 404","2026-04-03T20:03:47.064Z"
"BET-416","high","backlog","Founding Engineer","Bug: Legacy game URLs redirect to mismatched game guides","2026-04-03T19:57:54.143Z"
"BET-415","high","backlog","Shank","Bug: $32 event checkout API hard-fails with eventSlug required","2026-04-03T19:57:54.109Z"
"BET-414","high","backlog","Founding Engineer","Bug: Fresh demo load requests missing favicon.ico (404)","2026-04-03T19:57:39.774Z"
"BET-413","high","backlog","Founding Engineer","Bug: Duplicate affiliate routes both active (/affiliate/ and /affiliates/)","2026-04-03T19:57:39.742Z"
"BET-412","high","backlog","Founding Engineer","Bug: Homepage horizontal overflow at 375px viewport","2026-04-03T19:57:39.708Z"
"BET-411","high","backlog","Divot","Bug: Mobile text readability below minimum font sizes on demo/pricing","2026-04-03T19:57:39.669Z"
"BET-410","high","backlog","Divot","Bug: Mobile touch targets below 56px on pricing and game-guide pages","2026-04-03T19:57:39.636Z"
"BET-409","high","backlog","Ace","Bug: Settlement zero-sum fails in skins/match_play/stableford and partial-round scenarios","2026-04-03T19:57:39.596Z"
"BET-391","high","blocked","Ace","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","2026-04-03T19:50:24.257Z"
"BET-403","high","blocked","Ace","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","2026-04-03T19:48:15.952Z"
"BET-377","high","backlog","Divot","Bug: Both /affiliate/ and /affiliates/ are live 200 routes causing duplicate canonical paths","2026-04-03T19:37:07.874Z"
"BET-243","high","in_review","Shank","Bug: /api/ghin/debug endpoint is publicly reachable in production","2026-04-03T19:32:07.707Z"
"BET-384","high","backlog","Ace","Bug: Best ball game type has no settlement payout path (returns all-zero PnL)","2026-04-03T19:23:55.574Z"
"BET-375","high","backlog","Shank","Bug: Checkout success endpoint returns raw JSON errors instead of user-friendly error page","2026-04-03T19:22:42.901Z"
"BET-374","high","backlog","Ace","Bug: Demo odds do not visibly update during auto-simulation on demo-skins","2026-04-03T19:22:42.860Z"
"BET-373","high","backlog","Divot","Bug: Horizontal scroll present on homepage at 375px mobile viewport","2026-04-03T19:22:42.829Z"
"BET-372","high","backlog","Divot","Bug: Pricing page violates 56px mobile touch-target requirement on core CTAs","2026-04-03T19:22:42.786Z"
"BET-371","high","backlog","Founding Engineer","Bug: /affiliate/ serves 200 soft redirect instead of HTTP canonical redirect to /affiliates/","2026-04-03T19:13:28.203Z"
"BET-366","high","todo","Founding Engineer","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","2026-04-03T18:59:01.331Z"
"BET-363","high","backlog","Founding Engineer","Bug: Demo Game Cards links point to 404 pages (/cards/*)","2026-04-03T18:43:13.950Z"
"BET-362","high","backlog","Founding Engineer","Bug: /pricing/ route returns 404","2026-04-03T18:43:13.875Z"
"BET-356","high","backlog","Founding Engineer","Bug: Homepage and demo link to /cards/* routes that return 404","2026-04-03T18:40:38.168Z"
"BET-358","high","backlog","Founding Engineer","Bug: Create flow review card shows $29 for event pricing instead of $32/event","2026-04-03T18:29:54.460Z"
"BET-349","high","in_progress","Founding Engineer","Bug: Homepage /cards/* links return 404 from game format section","2026-04-03T18:23:07.648Z"
"BET-346","high","backlog","Founding Engineer","Bug: Homepage and demo 'See it in action' links route to 404 card pages","2026-04-03T18:09:14.480Z"
"BET-335","high","todo","Founding Engineer","Bug: Homepage and courses pages expose internal links that 404","2026-04-03T17:51:04.163Z"
"BET-339","high","backlog","Ace","Bug: Settlement P&L computation omits best ball mode","2026-04-03T17:50:03.944Z"
"BET-337","high","backlog","Founding Engineer","Bug: Homepage and demo link to /cards/* routes that return 404","2026-04-03T17:50:03.732Z"
"BET-334","high","in_progress","Founding Engineer","Bug: Public pricing page /pricing/ returns 404 Event not found","2026-04-03T17:46:42.045Z"
"BET-316","high","backlog","Founding Engineer","Bug: Homepage route /b/ shows stale pricing copy ($149 per event)","2026-04-03T16:44:14.488Z"
"BET-317","high","backlog","Founding Engineer","Bug: Broken internal links to /cards/* from demo and homepage format sections","2026-04-03T16:44:08.949Z"
"BET-315","high","backlog","Founding Engineer","Bug: /pricing/ returns 404 and breaks checkout success/cancel destination","2026-04-03T16:44:08.005Z"
"BET-310","high","backlog","Founding Engineer","Bug: /courses/ emits unresolved template link /courses/${c.id} leading to 404","2026-04-03T16:35:44.810Z"
"BET-307","high","backlog","Founding Engineer","Bug: Demo game-card links resolve to 404 (/cards/skins, /cards/nassau, /cards/wolf, /cards/match-play, /cards/scramble)","2026-04-03T16:35:44.385Z"
"BET-306","high","backlog","Founding Engineer","Bug: /tour/ route self-redirects (307 -> /tour/) while linked across games/guides","2026-04-03T16:35:44.332Z"
"BET-305","high","backlog","Founding Engineer","Bug: /overview/ route self-redirects (307 -> /overview/) and never resolves","2026-04-03T16:35:44.287Z"
"BET-303","high","backlog","Founding Engineer","Bug: /pricing/ route returns 404 while used as QA target page","2026-04-03T16:26:19.794Z"
"BET-301","high","backlog","Founding Engineer","Bug: Literal template link /courses/${c.id} is rendered and 404s","2026-04-03T16:26:19.685Z"
"BET-300","high","backlog","Founding Engineer","Bug: Internal /cards/* links on games pages return 404","2026-04-03T16:26:19.497Z"
"BET-299","high","backlog","Founding Engineer","Bug: /about/ redirect target /overview/ loops and never resolves","2026-04-03T16:26:19.366Z"
"BET-281","high","todo","Founding Engineer","Bug: /pricing/ returns 404 Event Not Found","2026-04-03T16:23:49.664Z"
"BET-267","high","todo","Founding Engineer","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","2026-04-03T16:04:34.140Z"
"BET-266","high","in_progress","Founding Engineer","Bug: /create still uses legacy $29 event pricing in live cost calculations","2026-04-03T16:02:30.729Z"
"BET-263","high","backlog","Divot","Bug: Core marketing pages fail 56px touch target and minimum text-size standard on mobile","2026-04-03T15:51:33.511Z"
"BET-255","high","backlog","Founding Engineer","Bug: Internal links resolve to templated placeholder URLs that 404","2026-04-03T15:42:54.598Z"
"BET-253","high","backlog","Ace","Bug: Best ball settlement path missing from computeRoundPnL (returns $0 for all players)","2026-04-03T15:42:54.527Z"
"BET-252","high","backlog","Ace","Bug: Wolf settlement can be non-zero-sum in computeRoundPnL for 4+ player states","2026-04-03T15:42:54.500Z"
"BET-206","high","backlog","Founding Engineer","Bug: Affiliate dashboard link from /pro signup drops referral code via /affiliate redirect","2026-04-03T14:56:34.547Z"
"BET-205","high","backlog","Divot","Bug: /pro mobile violates 56px touch target and minimum text size requirements","2026-04-03T14:56:24.084Z"
"BET-203","high","backlog","Divot","Bug: /pro course search returns no results due API response mismatch","2026-04-03T14:56:03.004Z"
"BET-137","high","blocked","Shank","Bug: partial-round settlement logic is not used in production settlement path","2026-04-03T14:44:44.360Z"
"BET-188","high","backlog","Founding Engineer","Bug: /guides/ breadcrumb link 404s from live guide pages","2026-04-03T14:44:20.000Z"
"BET-131","high","backlog","Founding Engineer","Bug: /pricing still shows $9.99/mo Season Pass conflicting with canonical pricing","2026-04-03T14:35:04.533Z"
"BET-124","high","backlog","Founding Engineer","Bug: /guides internal links return 404 from guide article pages","2026-04-03T14:18:53.944Z"
