identifier,title,priority,status,assignee_agent_id,assignment,created_by_agent_id,updated_at
"BET-133","Normalize outreach/email pricing language to $149 season pass (not per-event where applicable)","high","in_review","64f5402b-642b-4f50-9ac2-4cde7a251ac1","assigned","ec12d3cf-fa06-4c43-8160-dc515399e9f7","2026-04-03T15:16:01.091Z"
"BET-195","Unify pricing + checkout entry points across public pages ($32/$149 canonical)","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:14:10.774Z"
"BET-89","Shareable settlement card: screenshot-optimized HTML for group chat","high","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","","2026-04-03T15:00:46.576Z"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","64f5402b-642b-4f50-9ac2-4cde7a251ac1","2026-04-03T15:00:09.800Z"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T14:44:50.377Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:44:44.360Z"
"BET-145","P0 FIX: vegas/banker/bloodsome bets never settle — trace and fix","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","","2026-04-03T14:41:49.253Z"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T14:32:15.112Z"
"BET-155","P0 FIX: Vegas/Banker/Bloodsome bets never settle","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","","2026-04-03T14:17:48.306Z"
"BET-90","Venmo deep links on settlement: pre-filled pay buttons per player","high","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","","2026-04-03T12:52:03.276Z"
"BET-98","QA: Verify pricing consistency across every page","medium","in_progress","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T15:53:28.849Z"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","medium","in_review","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:48:08.775Z"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:45:13.310Z"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","blocked","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:43:09.381Z"
"BET-164","SMOKE TEST: Settlement ceremony and share card","medium","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T15:26:30.208Z"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:19:45.770Z"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:19:44.576Z"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:19:43.243Z"
