"identifier","priority","status","assignee","title","updated_at"
"BET-432","high","blocked","Ace","Bug: Skins tie settlement breaks zero-sum and logs uncorrectable violation","2026-04-03T20:39:12.437Z"
"BET-435","high","backlog","Spotter","QA verify: /pro pricing drift appears partially resolved (follow-up to BET-267)","2026-04-03T20:38:30.101Z"
"BET-403","high","blocked","Ace","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","2026-04-03T20:35:56.252Z"
"BET-434","high","backlog","Founding Engineer","Bug: Both /affiliate/ and /affiliates/ are live, creating canonical route conflict","2026-04-03T20:33:46.432Z"
"BET-398","high","blocked","Founding Engineer","Betting engine v2: in-play Bayesian odds, odds delta payload, and cent-safe zero-sum settlement","2026-04-03T20:29:39.881Z"
"BET-391","high","blocked","Ace","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","2026-04-03T20:25:00.802Z"
"BET-429","high","backlog","Ace","Bug: Settlement zero-sum fails in skins/match-play/stableford and partial-round suites","2026-04-03T20:23:49.041Z"
"BET-428","high","backlog","Wedge","COO unblock request: Caddie blocked QA lane + rising P0/P1 load","2026-04-03T20:19:41.109Z"
"BET-425","high","backlog","Shank","Bug: Duplicate affiliate email submission returns 429 instead of graceful success","2026-04-03T20:16:51.929Z"
"BET-422","high","backlog","Shank","Backend wiring: ensure 5-email drip cadence is active after email capture","2026-04-03T20:07:03.842Z"
"BET-421","high","backlog","Spotter","QA pass: funnel CTAs and link targets","2026-04-03T20:07:03.801Z"
"BET-420","high","backlog","Caddie","Pricing consistency audit after CTA copy normalization","2026-04-03T20:07:03.782Z"
"BET-419","high","backlog","Shank","P1: Enforce hard canonical redirect /affiliate/ -> /affiliates/ at edge","2026-04-03T20:06:42.504Z"
"BET-417","high","backlog","Founding Engineer","Bug: /courses/ cards link to literal template path /courses/${c.id} and 404","2026-04-03T20:03:47.064Z"
"BET-416","high","backlog","Founding Engineer","Bug: Legacy game URLs redirect to mismatched game guides","2026-04-03T19:57:54.143Z"
"BET-415","high","backlog","Shank","Bug: $32 event checkout API hard-fails with eventSlug required","2026-04-03T19:57:54.109Z"
"BET-414","high","backlog","Founding Engineer","Bug: Fresh demo load requests missing favicon.ico (404)","2026-04-03T19:57:39.774Z"
"BET-413","high","backlog","Founding Engineer","Bug: Duplicate affiliate routes both active (/affiliate/ and /affiliates/)","2026-04-03T19:57:39.742Z"
"BET-412","high","backlog","Founding Engineer","Bug: Homepage horizontal overflow at 375px viewport","2026-04-03T19:57:39.708Z"
"BET-411","high","backlog","Divot","Bug: Mobile text readability below minimum font sizes on demo/pricing","2026-04-03T19:57:39.669Z"
"BET-410","high","backlog","Divot","Bug: Mobile touch targets below 56px on pricing and game-guide pages","2026-04-03T19:57:39.636Z"
"BET-409","high","backlog","Ace","Bug: Settlement zero-sum fails in skins/match_play/stableford and partial-round scenarios","2026-04-03T19:57:39.596Z"
"BET-406","high","backlog","Wedge","COO escalation: continuation-5 ops findings + blocker triage","2026-04-03T19:46:55.193Z"
"BET-399","high","blocked","Chip","Ops blocker: queued execution locks prevent Caddie checkout on assigned audits","2026-04-03T19:41:14.494Z"
"BET-377","high","backlog","Divot","Bug: Both /affiliate/ and /affiliates/ are live 200 routes causing duplicate canonical paths","2026-04-03T19:37:07.874Z"
"BET-243","high","in_review","Shank","Bug: /api/ghin/debug endpoint is publicly reachable in production","2026-04-03T19:32:07.707Z"
"BET-389","high","backlog","unassigned","Sprint 3 handoff: core JS changes required but files are now read-only for agent","2026-04-03T19:31:46.545Z"
"BET-378","high","in_progress","Birdie","WRITE CODE: Build FL priority leads with real course websites","2026-04-03T19:30:28.311Z"
"BET-384","high","backlog","Ace","Bug: Best ball game type has no settlement payout path (returns all-zero PnL)","2026-04-03T19:23:55.574Z"
"BET-375","high","backlog","Shank","Bug: Checkout success endpoint returns raw JSON errors instead of user-friendly error page","2026-04-03T19:22:42.901Z"
"BET-374","high","backlog","Ace","Bug: Demo odds do not visibly update during auto-simulation on demo-skins","2026-04-03T19:22:42.860Z"
"BET-373","high","backlog","Divot","Bug: Horizontal scroll present on homepage at 375px mobile viewport","2026-04-03T19:22:42.829Z"
"BET-372","high","backlog","Divot","Bug: Pricing page violates 56px mobile touch-target requirement on core CTAs","2026-04-03T19:22:42.786Z"
"BET-328","high","blocked","Caddie","Pricing consistency audit handoff","2026-04-03T19:18:06.188Z"
"BET-371","high","backlog","Founding Engineer","Bug: /affiliate/ serves 200 soft redirect instead of HTTP canonical redirect to /affiliates/","2026-04-03T19:13:28.203Z"
"BET-296","high","blocked","Caddie","QA verification: /tour route no longer loops on mobile + desktop","2026-04-03T19:01:38.794Z"
"BET-186","high","blocked","Spotter","QA: Verify Heritage game panels on mobile and 56px touch targets","2026-04-03T19:00:41.053Z"
"BET-366","high","todo","Founding Engineer","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","2026-04-03T18:59:01.331Z"
"BET-363","high","backlog","Founding Engineer","Bug: Demo Game Cards links point to 404 pages (/cards/*)","2026-04-03T18:43:13.950Z"
"BET-362","high","backlog","Founding Engineer","Bug: /pricing/ route returns 404","2026-04-03T18:43:13.875Z"
"BET-356","high","backlog","Founding Engineer","Bug: Homepage and demo link to /cards/* routes that return 404","2026-04-03T18:40:38.168Z"
"BET-268","high","blocked","Spotter","Spotter QA validation for Sprint 3 game flow UX","2026-04-03T18:31:54.965Z"
"BET-358","high","backlog","Founding Engineer","Bug: Create flow review card shows $29 for event pricing instead of $32/event","2026-04-03T18:29:54.460Z"
"BET-349","high","in_progress","Founding Engineer","Bug: Homepage /cards/* links return 404 from game format section","2026-04-03T18:23:07.648Z"
"BET-346","high","backlog","Founding Engineer","Bug: Homepage and demo 'See it in action' links route to 404 card pages","2026-04-03T18:09:14.480Z"
"BET-335","high","todo","Founding Engineer","Bug: Homepage and courses pages expose internal links that 404","2026-04-03T17:51:04.163Z"
"BET-339","high","backlog","Ace","Bug: Settlement P&L computation omits best ball mode","2026-04-03T17:50:03.944Z"
"BET-337","high","backlog","Founding Engineer","Bug: Homepage and demo link to /cards/* routes that return 404","2026-04-03T17:50:03.732Z"
"BET-334","high","in_progress","Founding Engineer","Bug: Public pricing page /pricing/ returns 404 Event not found","2026-04-03T17:46:42.045Z"
"BET-293","high","in_review","Spotter","Mobile-first betting card readability + tap-target polish on create flow","2026-04-03T17:44:17.607Z"
"BET-269","high","blocked","Shank","WRITE CODE: Enrich course leads with website URLs via Google search pattern","2026-04-03T17:43:23.120Z"
"BET-320","high","todo","Birdie","P0 WRITE CODE: Build top 30 TX courses list with websites for outreach","2026-04-03T17:03:50.553Z"
"BET-319","high","todo","Birdie","P0 WRITE CODE: Build top 50 FL courses list with websites for immediate outreach","2026-04-03T17:03:41.567Z"
"BET-222","high","in_progress","Founding Engineer","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","2026-04-03T16:52:08.715Z"
"BET-238","high","in_progress","Founding Engineer","CTO Execution Matrix: P1-P5 priority closeout coordination","2026-04-03T16:49:59.989Z"
"BET-226","high","in_progress","Birdie","WRITE CODE: Generate cold emails for GA golf (Atlanta + Sea Island)","2026-04-03T16:49:22.026Z"
"BET-133","high","in_review","Birdie","Normalize outreach/email pricing language to $149 season pass (not per-event where applicable)","2026-04-03T16:46:51.944Z"
"BET-24","high","in_review","Spotter","Implement Sprint 3 cards + round-scoring UX from approved design spec","2026-04-03T16:45:43.528Z"
"BET-316","high","backlog","Founding Engineer","Bug: Homepage route /b/ shows stale pricing copy ($149 per event)","2026-04-03T16:44:14.488Z"
"BET-317","high","backlog","Founding Engineer","Bug: Broken internal links to /cards/* from demo and homepage format sections","2026-04-03T16:44:08.949Z"
"BET-315","high","backlog","Founding Engineer","Bug: /pricing/ returns 404 and breaks checkout success/cancel destination","2026-04-03T16:44:08.005Z"
"BET-261","high","in_review","Founding Engineer","Sprint 3 UX closeout against game-flow spec","2026-04-03T16:41:14.385Z"
"BET-310","high","backlog","Founding Engineer","Bug: /courses/ emits unresolved template link /courses/${c.id} leading to 404","2026-04-03T16:35:44.810Z"
"BET-307","high","backlog","Founding Engineer","Bug: Demo game-card links resolve to 404 (/cards/skins, /cards/nassau, /cards/wolf, /cards/match-play, /cards/scramble)","2026-04-03T16:35:44.385Z"
"BET-306","high","backlog","Founding Engineer","Bug: /tour/ route self-redirects (307 -> /tour/) while linked across games/guides","2026-04-03T16:35:44.332Z"
"BET-305","high","backlog","Founding Engineer","Bug: /overview/ route self-redirects (307 -> /overview/) and never resolves","2026-04-03T16:35:44.287Z"
"BET-225","high","blocked","Shank","WRITE CODE: Fix /pricing/ page — Season Pass $9.99/mo conflict","2026-04-03T16:35:19.799Z"
"BET-303","high","backlog","Founding Engineer","Bug: /pricing/ route returns 404 while used as QA target page","2026-04-03T16:26:19.794Z"
"BET-301","high","backlog","Founding Engineer","Bug: Literal template link /courses/${c.id} is rendered and 404s","2026-04-03T16:26:19.685Z"
"BET-300","high","backlog","Founding Engineer","Bug: Internal /cards/* links on games pages return 404","2026-04-03T16:26:19.497Z"
"BET-299","high","backlog","Founding Engineer","Bug: /about/ redirect target /overview/ loops and never resolves","2026-04-03T16:26:19.366Z"
"BET-281","high","todo","Founding Engineer","Bug: /pricing/ returns 404 Event Not Found","2026-04-03T16:23:49.664Z"
"BET-267","high","todo","Founding Engineer","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","2026-04-03T16:04:34.140Z"
"BET-266","high","in_progress","Founding Engineer","Bug: /create still uses legacy $29 event pricing in live cost calculations","2026-04-03T16:02:30.729Z"
"BET-265","high","backlog","Spotter","QA regression: invalid eventSlug checkout guard","2026-04-03T15:54:59.365Z"
"BET-256","high","todo","Founding Engineer","DraftKings-style tappable odds UX across betting surfaces","2026-04-03T15:54:45.122Z"
"BET-113","high","blocked","Wedge","Access control: internal pages with -private suffix are publicly reachable","2026-04-03T15:52:01.880Z"
"BET-263","high","backlog","Divot","Bug: Core marketing pages fail 56px touch target and minimum text-size standard on mobile","2026-04-03T15:51:33.511Z"
"BET-255","high","backlog","Founding Engineer","Bug: Internal links resolve to templated placeholder URLs that 404","2026-04-03T15:42:54.598Z"
"BET-253","high","backlog","Ace","Bug: Best ball settlement path missing from computeRoundPnL (returns $0 for all players)","2026-04-03T15:42:54.527Z"
"BET-252","high","backlog","Ace","Bug: Wolf settlement can be non-zero-sum in computeRoundPnL for 4+ player states","2026-04-03T15:42:54.500Z"
"BET-227","high","in_progress","Birdie","WRITE CODE: Generate cold emails for NY golf (Westchester + Long Island)","2026-04-03T15:41:51.955Z"
"BET-241","high","backlog","Shank","Backend follow-up: activate post-capture 5-email drip sequence","2026-04-03T15:32:42.901Z"
"BET-240","high","backlog","Shank","Backend follow-up: lock internal routes and confirm private access policy","2026-04-03T15:32:42.857Z"
"BET-239","high","backlog","Caddie","CMO handoff: pricing consistency signoff across public pages","2026-04-03T15:32:42.848Z"
"BET-212","high","blocked","Chip","Unblock Shank checkout conflicts on assigned backend tickets","2026-04-03T15:31:47.883Z"
"BET-232","high","backlog","unassigned","Spotter QA: links + CTA destination regression","2026-04-03T15:27:46.148Z"
"BET-231","high","backlog","unassigned","Shank backend verification: route hardening + drip settings","2026-04-03T15:27:46.060Z"
"BET-230","high","backlog","unassigned","Caddie QA: pricing + CTA consistency audit","2026-04-03T15:27:46.025Z"
"BET-216","high","todo","Founding Engineer","Mitigation: normalize exposed private-page pricing copy to canonical offer","2026-04-03T15:16:29.648Z"
"BET-195","high","in_progress","Founding Engineer","Unify pricing + checkout entry points across public pages ($32/$149 canonical)","2026-04-03T15:14:10.774Z"
"BET-54","high","blocked","Spotter","Verify Resend domain and test welcome email delivery","2026-04-03T15:10:30.087Z"
"BET-89","high","in_review","Founding Engineer","Shareable settlement card: screenshot-optimized HTML for group chat","2026-04-03T15:00:46.576Z"
"BET-206","high","backlog","Founding Engineer","Bug: Affiliate dashboard link from /pro signup drops referral code via /affiliate redirect","2026-04-03T14:56:34.547Z"
"BET-205","high","backlog","Divot","Bug: /pro mobile violates 56px touch target and minimum text size requirements","2026-04-03T14:56:24.084Z"
"BET-203","high","backlog","Divot","Bug: /pro course search returns no results due API response mismatch","2026-04-03T14:56:03.004Z"
"BET-53","high","blocked","Spotter","Verify and test Stripe end-to-end: create event, pay, activate","2026-04-03T14:53:06.958Z"
"BET-161","high","blocked","Spotter","SMOKE TEST: All 7 demo pages load with real data","2026-04-03T14:44:50.377Z"
"BET-188","high","backlog","Founding Engineer","Bug: /guides/ breadcrumb link 404s from live guide pages","2026-04-03T14:44:20.000Z"
"BET-131","high","backlog","Founding Engineer","Bug: /pricing still shows $9.99/mo Season Pass conflicting with canonical pricing","2026-04-03T14:35:04.533Z"
"BET-160","high","blocked","Spotter","SMOKE TEST: Course search in Quick Start and create wizard","2026-04-03T14:32:15.112Z"
"BET-65","high","blocked","Birdie","Build automated scramble season outreach campaign (May-Oct)","2026-04-03T14:19:06.773Z"
"BET-77","high","blocked","Wedge","Configure Cloudflare Email Routing for hello@betwaggle.com","2026-04-03T14:19:02.323Z"
"BET-115","high","backlog","Divot","Frontend security: remove unsafe innerHTML in create wizard banners","2026-04-03T14:19:01.095Z"
"BET-116","high","backlog","Founding Engineer","Reliability: enforce Resend delivery checks in drip pipeline + tests","2026-04-03T14:18:59.632Z"
"BET-124","high","backlog","Founding Engineer","Bug: /guides internal links return 404 from guide article pages","2026-04-03T14:18:53.944Z"
"BET-105","high","blocked","Birdie","Generate state-specific cold emails for AZ resort golf","2026-04-03T14:18:39.208Z"
"BET-149","high","todo","Birdie","Generate cold emails for CA golf (Palm Springs/Bay Area)","2026-04-03T14:18:10.843Z"
"BET-174","high","backlog","Shank","Backend handoff: wire/verify 5-email post-capture drip and private route gate check","2026-04-03T14:17:38.148Z"
"BET-175","high","backlog","Spotter","QA handoff: verify pricing copy and CTA/link paths on core marketing pages","2026-04-03T14:17:35.336Z"
"BET-165","high","blocked","Birdie","Write cold email sequence for SC/NC Pinehurst/Kiawah corridor","2026-04-03T14:17:33.918Z"
"BET-84","high","in_review","Spotter","Stitch: Match Play card 'The Duel' — head-to-head confrontation layout","2026-04-03T12:57:07.709Z"
"BET-90","high","in_review","Founding Engineer","Venmo deep links on settlement: pre-filled pay buttons per player","2026-04-03T12:52:03.276Z"
"BET-81","high","in_review","Spotter","Stitch: Skins card 'The Auction House' — gold pot stacking, trophy reveals","2026-04-03T12:47:53.460Z"
"BET-82","high","in_review","Spotter","Stitch: Nassau card 'The Triple Crown' — three stacked linen bet sections","2026-04-03T12:46:33.622Z"
"BET-83","high","in_review","Spotter","Stitch: Wolf card 'The War Room' — circular rotation wheel, alliance timeline","2026-04-03T12:44:59.711Z"
"BET-118","high","backlog","Shank","Restrict internal routes and remove public access to /marketing, /gtm, /ads","2026-04-03T12:37:48.841Z"
"BET-44","high","in_review","user:local-board","Stitch: Redesign homepage hero with Heritage Sporting design system","2026-04-02T23:34:10.352Z"
"BET-62","high","todo","Shank","Build course lead database from courses API + state/region segmentation","2026-04-02T23:25:52.590Z"
