"identifier","title","priority","status","created_by_spotter","assignee_agent_id","assignment_status","updated_at","follow_up"
"BET-336","Bug: Email capture API returns 500 for valid and duplicate submissions","critical","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T17:53:08.084Z","FOLLOW-UP: daily P0/P1 check"
"BET-314","Bug: Valid email capture submissions return INTERNAL_ERROR (500)","critical","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T16:44:07.729Z","FOLLOW-UP: daily P0/P1 check"
"BET-313","Bug: Self-redirect loop blocks /create, /overview, and /tour on production","critical","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:44:07.558Z","FOLLOW-UP: daily P0/P1 check"
"BET-298","Bug: /create/ enters infinite redirect loop and blocks signup checkout","critical","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:26:46.553Z","FOLLOW-UP: daily P0/P1 check"
"BET-297","Bug: Redirect loop on /tour/ prevents page load","critical","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:26:46.259Z","FOLLOW-UP: daily P0/P1 check"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:15:40.318Z","FOLLOW-UP: daily P0/P1 check"
"BET-251","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","critical","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T15:43:16.120Z","FOLLOW-UP: daily P0/P1 check"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T15:28:33.110Z","FOLLOW-UP: daily P0/P1 check"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T15:04:46.893Z","FOLLOW-UP: daily P0/P1 check"
"BET-330","QA pass for marketing CTAs and key routes","high","in_progress","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T18:56:32.129Z","FOLLOW-UP: daily P0/P1 check"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","blocked","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T18:56:10.200Z","FOLLOW-UP: daily P0/P1 check"
"BET-352","Manual device QA follow-up: /tour routing validation on physical iPhone browsers","high","in_progress","no","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","2026-04-03T18:55:58.669Z","FOLLOW-UP: daily P0/P1 check"
"BET-366","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","high","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:55:37.946Z","FOLLOW-UP: daily P0/P1 check"
"BET-363","Bug: Demo Game Cards links point to 404 pages (/cards/*)","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:43:13.950Z","FOLLOW-UP: daily P0/P1 check"
"BET-362","Bug: /pricing/ route returns 404","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:43:13.875Z","FOLLOW-UP: daily P0/P1 check"
"BET-356","Bug: Homepage and demo link to /cards/* routes that return 404","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:40:38.168Z","FOLLOW-UP: daily P0/P1 check"
"BET-296","QA verification: /tour route no longer loops on mobile + desktop","high","blocked","no","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","2026-04-03T18:40:09.617Z","FOLLOW-UP: daily P0/P1 check"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","blocked","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T18:31:54.965Z","FOLLOW-UP: daily P0/P1 check"
"BET-358","Bug: Create flow review card shows $29 for event pricing instead of $32/event","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:29:54.460Z","FOLLOW-UP: daily P0/P1 check"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","high","in_progress","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:23:07.648Z","FOLLOW-UP: daily P0/P1 check"
"BET-346","Bug: Homepage and demo 'See it in action' links route to 404 card pages","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:09:14.480Z","FOLLOW-UP: daily P0/P1 check"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T17:51:04.163Z","FOLLOW-UP: daily P0/P1 check"
"BET-339","Bug: Settlement P&L computation omits best ball mode","high","backlog","yes","65731875-1c15-4442-883d-af847186f81e","assigned","2026-04-03T17:50:03.944Z","FOLLOW-UP: daily P0/P1 check"
"BET-337","Bug: Homepage and demo link to /cards/* routes that return 404","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T17:50:03.732Z","FOLLOW-UP: daily P0/P1 check"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","in_progress","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T17:46:42.045Z","FOLLOW-UP: daily P0/P1 check"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","in_progress","no","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:52:08.715Z","FOLLOW-UP: daily P0/P1 check"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T16:51:53.375Z","FOLLOW-UP: daily P0/P1 check"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T16:47:30.537Z","FOLLOW-UP: daily P0/P1 check"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T16:46:02.325Z","FOLLOW-UP: daily P0/P1 check"
"BET-316","Bug: Homepage route /b/ shows stale pricing copy ($149 per event)","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:44:14.488Z","FOLLOW-UP: daily P0/P1 check"
"BET-317","Bug: Broken internal links to /cards/* from demo and homepage format sections","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:44:08.949Z","FOLLOW-UP: daily P0/P1 check"
"BET-315","Bug: /pricing/ returns 404 and breaks checkout success/cancel destination","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:44:08.005Z","FOLLOW-UP: daily P0/P1 check"
"BET-310","Bug: /courses/ emits unresolved template link /courses/${c.id} leading to 404","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:35:44.810Z","FOLLOW-UP: daily P0/P1 check"
"BET-307","Bug: Demo game-card links resolve to 404 (/cards/skins, /cards/nassau, /cards/wolf, /cards/match-play, /cards/scramble)","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:35:44.385Z","FOLLOW-UP: daily P0/P1 check"
"BET-306","Bug: /tour/ route self-redirects (307 -> /tour/) while linked across games/guides","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:35:44.332Z","FOLLOW-UP: daily P0/P1 check"
"BET-305","Bug: /overview/ route self-redirects (307 -> /overview/) and never resolves","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:35:44.287Z","FOLLOW-UP: daily P0/P1 check"
"BET-303","Bug: /pricing/ route returns 404 while used as QA target page","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:26:19.794Z","FOLLOW-UP: daily P0/P1 check"
"BET-301","Bug: Literal template link /courses/${c.id} is rendered and 404s","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:26:19.685Z","FOLLOW-UP: daily P0/P1 check"
"BET-300","Bug: Internal /cards/* links on games pages return 404","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:26:19.497Z","FOLLOW-UP: daily P0/P1 check"
"BET-299","Bug: /about/ redirect target /overview/ loops and never resolves","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:26:19.366Z","FOLLOW-UP: daily P0/P1 check"
"BET-277","Bug: Redesigned game cards missing Tailwind config block","high","todo","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T16:24:00.881Z","FOLLOW-UP: daily P0/P1 check"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:23:49.664Z","FOLLOW-UP: daily P0/P1 check"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:04:34.140Z","FOLLOW-UP: daily P0/P1 check"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:02:30.729Z","FOLLOW-UP: daily P0/P1 check"
"BET-265","QA regression: invalid eventSlug checkout guard","high","backlog","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T15:54:59.365Z","FOLLOW-UP: daily P0/P1 check"
"BET-263","Bug: Core marketing pages fail 56px touch target and minimum text-size standard on mobile","high","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T15:51:33.511Z","FOLLOW-UP: daily P0/P1 check"
"BET-255","Bug: Internal links resolve to templated placeholder URLs that 404","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T15:42:54.598Z","FOLLOW-UP: daily P0/P1 check"
"BET-253","Bug: Best ball settlement path missing from computeRoundPnL (returns $0 for all players)","high","backlog","yes","65731875-1c15-4442-883d-af847186f81e","assigned","2026-04-03T15:42:54.527Z","FOLLOW-UP: daily P0/P1 check"
"BET-252","Bug: Wolf settlement can be non-zero-sum in computeRoundPnL for 4+ player states","high","backlog","yes","65731875-1c15-4442-883d-af847186f81e","assigned","2026-04-03T15:42:54.500Z","FOLLOW-UP: daily P0/P1 check"
"BET-243","Bug: /api/ghin/debug endpoint is publicly reachable in production","high","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T15:33:57.802Z","FOLLOW-UP: daily P0/P1 check"
"BET-232","Spotter QA: links + CTA destination regression","high","backlog","no","","unassigned","2026-04-03T15:27:46.148Z","FOLLOW-UP: daily P0/P1 check"
"BET-230","Caddie QA: pricing + CTA consistency audit","high","backlog","no","","unassigned","2026-04-03T15:27:46.025Z","FOLLOW-UP: daily P0/P1 check"
"BET-206","Bug: Affiliate dashboard link from /pro signup drops referral code via /affiliate redirect","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:56:34.547Z","FOLLOW-UP: daily P0/P1 check"
"BET-205","Bug: /pro mobile violates 56px touch target and minimum text size requirements","high","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T14:56:24.084Z","FOLLOW-UP: daily P0/P1 check"
"BET-203","Bug: /pro course search returns no results due API response mismatch","high","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T14:56:03.004Z","FOLLOW-UP: daily P0/P1 check"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T14:44:50.377Z","FOLLOW-UP: daily P0/P1 check"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T14:44:44.360Z","FOLLOW-UP: daily P0/P1 check"
"BET-188","Bug: /guides/ breadcrumb link 404s from live guide pages","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:44:20.000Z","FOLLOW-UP: daily P0/P1 check"
"BET-131","Bug: /pricing still shows $9.99/mo Season Pass conflicting with canonical pricing","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:35:04.533Z","FOLLOW-UP: daily P0/P1 check"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T14:32:15.112Z","FOLLOW-UP: daily P0/P1 check"
"BET-124","Bug: /guides internal links return 404 from guide article pages","high","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:18:53.944Z","FOLLOW-UP: daily P0/P1 check"
"BET-175","QA handoff: verify pricing copy and CTA/link paths on core marketing pages","high","backlog","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T14:17:35.336Z","FOLLOW-UP: daily P0/P1 check"
"BET-367","Bug: /affiliate/ serves 200 meta-refresh page instead of canonical HTTP redirect to /affiliates/","medium","todo","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T18:57:25.481Z","monitor"
"BET-357","Bug: Mobile touch target and text-size standards fail on key marketing pages","medium","in_review","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T18:53:00.101Z","monitor"
"BET-364","Bug: Mobile touch targets and text sizing violate QA minimums on public pages","medium","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T18:43:14.234Z","monitor"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","blocked","yes","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","2026-04-03T18:11:06.232Z","monitor"
"BET-348","QA Report: 2026-04-03 mobile, links, settlement, payment smoke","medium","backlog","yes","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","2026-04-03T18:09:38.944Z","monitor"
"BET-338","Bug: Mobile touch targets below 56px and sub-minimum text on marketing pages","medium","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T17:50:03.845Z","monitor"
"BET-164","SMOKE TEST: Settlement ceremony and share card","medium","blocked","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T16:46:00.279Z","monitor"
"BET-309","Bug: Mobile homepage violates 56px touch-target and min text-size requirements at 375/390/428 widths","medium","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T16:35:44.649Z","monitor"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","medium","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:31:13.165Z","monitor"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","medium","in_review","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T16:28:20.439Z","monitor"
"BET-302","Bug: Mobile touch targets violate 56px requirement in betting UI","medium","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T16:26:19.745Z","monitor"
"BET-286","Bug: /api/email-capture returns Internal server error for valid emails","medium","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T16:12:23.486Z","monitor"
"BET-254","Bug: Mobile touch targets and typography violate 56px / 14px QA requirements on core pages","medium","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T15:42:54.561Z","monitor"
"BET-242","QA sweep: verify public CTAs, pricing copy, and affiliate redirect","medium","backlog","no","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T15:32:43.029Z","monitor"
"BET-215","Bug: Drip campaign cadence mismatch (0/2/4/7/14 vs expected 0/3/7/14/21)","medium","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T15:10:08.011Z","monitor"
"BET-214","Bug: Outreach unsubscribe URL points to 404 path (/unsubscribe)","medium","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T15:08:43.926Z","monitor"
"BET-208","Bug: '/guides/' breadcrumb target resolves to 404 instead of Guides index","medium","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T15:05:16.420Z","monitor"
"BET-210","Bug: Demo share button fails 56px mobile touch target requirement","medium","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T15:04:22.509Z","monitor"
"BET-209","Bug: Affiliate signup accepts invalid emails and creates affiliate records","medium","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T15:04:22.466Z","monitor"
"BET-204","Bug: /pro missing required CTA link to /demo-scramble/","medium","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T14:56:13.799Z","monitor"
"BET-189","Bug: /affiliate/ and /affiliates/ both resolve (duplicate route surface)","medium","backlog","yes","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T14:44:20.013Z","monitor"
"BET-183","Bug: Duplicate affiliate routes both resolve (/affiliate/ and /affiliates/)","medium","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:32:02.869Z","monitor"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","medium","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:19:45.770Z","monitor"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","medium","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:19:44.576Z","monitor"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","medium","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:19:43.243Z","monitor"
"BET-130","Bug: Duplicate affiliate routes (/affiliate and /affiliates) both live","low","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:19:57.404Z","monitor"
