"issue_id","priority","status","title","assignee","assigned_state","created_by","follow_up","updated_at"
"BET-433","high","blocked","Bug: Nassau partial-round final states never settle (bets remain active after 9 holes)","Ace","assigned","Spotter","daily P1 follow-up","2026-04-03T20:41:01.000Z"
"BET-432","high","blocked","Bug: Skins tie settlement breaks zero-sum and logs uncorrectable violation","Ace","assigned","Spotter","daily P1 follow-up","2026-04-03T20:39:12.437Z"
"BET-403","high","blocked","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","Ace","assigned","Spotter","daily P1 follow-up","2026-04-03T20:35:56.252Z"
"BET-398","high","blocked","Betting engine v2: in-play Bayesian odds, odds delta payload, and cent-safe zero-sum settlement","Founding Engineer","assigned","Ace","daily P1 follow-up","2026-04-03T20:29:39.881Z"
"BET-391","high","blocked","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","Ace","assigned","Spotter","daily P1 follow-up","2026-04-03T20:25:00.802Z"
"BET-243","high","in_review","Bug: /api/ghin/debug endpoint is publicly reachable in production","Shank","assigned","Spotter","daily P1 follow-up","2026-04-03T19:32:07.707Z"
"BET-328","high","blocked","Pricing consistency audit handoff","Caddie","assigned","Birdie","daily P1 follow-up","2026-04-03T19:18:06.188Z"
"BET-296","high","blocked","QA verification: /tour route no longer loops on mobile + desktop","Caddie","assigned","Wedge","daily P1 follow-up","2026-04-03T19:01:38.794Z"
"BET-186","high","blocked","QA: Verify Heritage game panels on mobile and 56px touch targets","Spotter","assigned","Divot","daily P1 follow-up","2026-04-03T19:00:41.053Z"
"BET-366","high","todo","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","Founding Engineer","assigned","Spotter","daily P1 follow-up","2026-04-03T18:59:01.331Z"
"BET-268","high","blocked","Spotter QA validation for Sprint 3 game flow UX","Spotter","assigned","Founding Engineer","daily P1 follow-up","2026-04-03T18:31:54.965Z"
"BET-349","high","in_progress","Bug: Homepage /cards/* links return 404 from game format section","Founding Engineer","assigned","Spotter","daily P1 follow-up","2026-04-03T18:23:07.648Z"
"BET-335","high","todo","Bug: Homepage and courses pages expose internal links that 404","Founding Engineer","assigned","Spotter","daily P1 follow-up","2026-04-03T17:51:04.163Z"
"BET-334","high","in_progress","Bug: Public pricing page /pricing/ returns 404 Event not found","Founding Engineer","assigned","Spotter","daily P1 follow-up","2026-04-03T17:46:42.045Z"
"BET-222","high","in_progress","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","Founding Engineer","assigned","Wedge","daily P1 follow-up","2026-04-03T16:52:08.715Z"
"BET-133","high","in_review","Normalize outreach/email pricing language to $149 season pass (not per-event where applicable)","Birdie","assigned","Caddie","daily P1 follow-up","2026-04-03T16:46:51.944Z"
"BET-225","high","blocked","WRITE CODE: Fix /pricing/ page — Season Pass $9.99/mo conflict","Shank","assigned","unassigned","daily P1 follow-up","2026-04-03T16:35:19.799Z"
"BET-281","high","todo","Bug: /pricing/ returns 404 Event Not Found","Founding Engineer","assigned","Spotter","daily P1 follow-up","2026-04-03T16:23:49.664Z"
"BET-267","high","todo","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","Founding Engineer","assigned","Spotter","daily P1 follow-up","2026-04-03T16:04:34.140Z"
"BET-266","high","in_progress","Bug: /create still uses legacy $29 event pricing in live cost calculations","Founding Engineer","assigned","Spotter","daily P1 follow-up","2026-04-03T16:02:30.729Z"
"BET-216","high","todo","Mitigation: normalize exposed private-page pricing copy to canonical offer","Founding Engineer","assigned","Wedge","daily P1 follow-up","2026-04-03T15:16:29.648Z"
"BET-195","high","in_progress","Unify pricing + checkout entry points across public pages ($32/$149 canonical)","Founding Engineer","assigned","Wedge","daily P1 follow-up","2026-04-03T15:14:10.774Z"
"BET-89","high","in_review","Shareable settlement card: screenshot-optimized HTML for group chat","Founding Engineer","assigned","unassigned","daily P1 follow-up","2026-04-03T15:00:46.576Z"
"BET-90","high","in_review","Venmo deep links on settlement: pre-filled pay buttons per player","Founding Engineer","assigned","unassigned","daily P1 follow-up","2026-04-03T12:52:03.276Z"
