"identifier","title","priority","status","assignee","created_by","updated_at","tracking_note"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T16:52:26.141Z","FOLLOW-UP: daily status check"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T16:52:08.715Z","FOLLOW-UP: daily status check"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","user","2026-04-03T16:51:53.375Z","FOLLOW-UP: daily status check"
"BET-250","QA pass: verify CTA targets and conversion paths on public pages","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","64f5402b-642b-4f50-9ac2-4cde7a251ac1","2026-04-03T16:50:22.823Z","FOLLOW-UP: daily status check"
"BET-229","SMOKE TEST: Verify all agent code changes don't break the site","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","user","2026-04-03T16:48:34.704Z","FOLLOW-UP: daily status check"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","64f5402b-642b-4f50-9ac2-4cde7a251ac1","2026-04-03T16:47:30.537Z","FOLLOW-UP: daily status check"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","928d5a8b-37f5-43b7-8648-e3ad68978b9d","2026-04-03T16:46:02.325Z","FOLLOW-UP: daily status check"
"BET-316","Bug: Homepage route /b/ shows stale pricing copy ($149 per event)","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:44:14.488Z","FOLLOW-UP: daily status check"
"BET-317","Bug: Broken internal links to /cards/* from demo and homepage format sections","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:44:08.949Z","FOLLOW-UP: daily status check"
"BET-315","Bug: /pricing/ returns 404 and breaks checkout success/cancel destination","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:44:08.005Z","FOLLOW-UP: daily status check"
"BET-310","Bug: /courses/ emits unresolved template link /courses/${c.id} leading to 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:35:44.810Z","FOLLOW-UP: daily status check"
"BET-307","Bug: Demo game-card links resolve to 404 (/cards/skins, /cards/nassau, /cards/wolf, /cards/match-play, /cards/scramble)","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:35:44.385Z","FOLLOW-UP: daily status check"
"BET-306","Bug: /tour/ route self-redirects (307 -> /tour/) while linked across games/guides","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:35:44.332Z","FOLLOW-UP: daily status check"
"BET-305","Bug: /overview/ route self-redirects (307 -> /overview/) and never resolves","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:35:44.287Z","FOLLOW-UP: daily status check"
"BET-303","Bug: /pricing/ route returns 404 while used as QA target page","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:26:19.794Z","FOLLOW-UP: daily status check"
"BET-301","Bug: Literal template link /courses/${c.id} is rendered and 404s","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:26:19.685Z","FOLLOW-UP: daily status check"
"BET-300","Bug: Internal /cards/* links on games pages return 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:26:19.497Z","FOLLOW-UP: daily status check"
"BET-299","Bug: /about/ redirect target /overview/ loops and never resolves","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:26:19.366Z","FOLLOW-UP: daily status check"
"BET-277","Bug: Redesigned game cards missing Tailwind config block","high","todo","928d5a8b-37f5-43b7-8648-e3ad68978b9d","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:24:00.881Z","FOLLOW-UP: daily status check"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:23:49.664Z","FOLLOW-UP: daily status check"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:04:34.140Z","FOLLOW-UP: daily status check"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:02:30.729Z","FOLLOW-UP: daily status check"
"BET-265","QA regression: invalid eventSlug checkout guard","high","backlog","87fcc8b8-b4b9-4a33-8358-c49179985317","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:54:59.365Z","FOLLOW-UP: daily status check"
"BET-263","Bug: Core marketing pages fail 56px touch target and minimum text-size standard on mobile","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:51:33.511Z","FOLLOW-UP: daily status check"
"BET-255","Bug: Internal links resolve to templated placeholder URLs that 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:42:54.598Z","FOLLOW-UP: daily status check"
"BET-253","Bug: Best ball settlement path missing from computeRoundPnL (returns $0 for all players)","high","backlog","65731875-1c15-4442-883d-af847186f81e","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:42:54.527Z","FOLLOW-UP: daily status check"
"BET-252","Bug: Wolf settlement can be non-zero-sum in computeRoundPnL for 4+ player states","high","backlog","65731875-1c15-4442-883d-af847186f81e","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:42:54.500Z","FOLLOW-UP: daily status check"
"BET-243","Bug: /api/ghin/debug endpoint is publicly reachable in production","high","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:33:57.802Z","FOLLOW-UP: daily status check"
"BET-232","Spotter QA: links + CTA destination regression","high","backlog","unassigned","64f5402b-642b-4f50-9ac2-4cde7a251ac1","2026-04-03T15:27:46.148Z","FOLLOW-UP: assign owner"
"BET-230","Caddie QA: pricing + CTA consistency audit","high","backlog","unassigned","64f5402b-642b-4f50-9ac2-4cde7a251ac1","2026-04-03T15:27:46.025Z","FOLLOW-UP: assign owner"
"BET-54","Verify Resend domain and test welcome email delivery","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","user","2026-04-03T15:10:30.087Z","FOLLOW-UP: daily status check"
"BET-206","Bug: Affiliate dashboard link from /pro signup drops referral code via /affiliate redirect","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:56:34.547Z","FOLLOW-UP: daily status check"
"BET-205","Bug: /pro mobile violates 56px touch target and minimum text size requirements","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:56:24.084Z","FOLLOW-UP: daily status check"
"BET-203","Bug: /pro course search returns no results due API response mismatch","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:56:03.004Z","FOLLOW-UP: daily status check"
"BET-53","Verify and test Stripe end-to-end: create event, pay, activate","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","user","2026-04-03T14:53:06.958Z","FOLLOW-UP: daily status check"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","user","2026-04-03T14:44:50.377Z","FOLLOW-UP: daily status check"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:44:44.360Z","FOLLOW-UP: daily status check"
"BET-188","Bug: /guides/ breadcrumb link 404s from live guide pages","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:44:20.000Z","FOLLOW-UP: daily status check"
"BET-131","Bug: /pricing still shows $9.99/mo Season Pass conflicting with canonical pricing","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:35:04.533Z","FOLLOW-UP: daily status check"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","user","2026-04-03T14:32:15.112Z","FOLLOW-UP: daily status check"
"BET-116","Reliability: enforce Resend delivery checks in drip pipeline + tests","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T14:18:59.632Z","FOLLOW-UP: daily status check"
"BET-124","Bug: /guides internal links return 404 from guide article pages","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:18:53.944Z","FOLLOW-UP: daily status check"
"BET-175","QA handoff: verify pricing copy and CTA/link paths on core marketing pages","high","backlog","87fcc8b8-b4b9-4a33-8358-c49179985317","64f5402b-642b-4f50-9ac2-4cde7a251ac1","2026-04-03T14:17:35.336Z","FOLLOW-UP: daily status check"
