"issue_id","title","priority","status","assignee","assigned_state","qa_owner","updated_at"
"BET-264","COO validation: public pricing/CTA consistency after parity hardening","high","backlog","Caddie","assigned","non-spotter","2026-04-03T15:54:59.354Z"
"BET-256","DraftKings-style tappable odds UX across betting surfaces","high","todo","Founding Engineer","assigned","non-spotter","2026-04-03T15:54:45.122Z"
"BET-245","Wire Resend drip trigger from /api/email-capture","high","todo","Shank","assigned","non-spotter","2026-04-03T15:54:45.015Z"
"BET-113","Access control: internal pages with -private suffix are publicly reachable","high","blocked","Wedge","assigned","non-spotter","2026-04-03T15:52:01.880Z"
"BET-263","Bug: Core marketing pages fail 56px touch target and minimum text-size standard on mobile","high","backlog","Divot","assigned","non-spotter","2026-04-03T15:51:33.511Z"
"BET-225","WRITE CODE: Fix /pricing/ page — Season Pass $9.99/mo conflict","high","todo","Shank","assigned","non-spotter","2026-04-03T15:50:04.336Z"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","todo","Spotter","assigned","spotter","2026-04-03T15:46:42.504Z"
"BET-238","CTO Execution Matrix: P1-P5 priority closeout coordination","high","in_progress","Founding Engineer","assigned","non-spotter","2026-04-03T15:43:09.395Z"
"BET-255","Bug: Internal links resolve to templated placeholder URLs that 404","high","backlog","Founding Engineer","assigned","non-spotter","2026-04-03T15:42:54.598Z"
"BET-253","Bug: Best ball settlement path missing from computeRoundPnL (returns $0 for all players)","high","backlog","Ace","assigned","non-spotter","2026-04-03T15:42:54.527Z"
"BET-252","Bug: Wolf settlement can be non-zero-sum in computeRoundPnL for 4+ player states","high","backlog","Ace","assigned","non-spotter","2026-04-03T15:42:54.500Z"
"BET-227","WRITE CODE: Generate cold emails for NY golf (Westchester + Long Island)","high","in_progress","Birdie","assigned","non-spotter","2026-04-03T15:41:51.955Z"
"BET-249","Wire and validate 5-email drip trigger/cadence in backend","high","todo","Shank","assigned","non-spotter","2026-04-03T15:41:17.563Z"
"BET-250","QA pass: verify CTA targets and conversion paths on public pages","high","todo","Spotter","assigned","spotter","2026-04-03T15:41:09.656Z"
"BET-247","QA regression: season pass checkout + pricing consistency","high","todo","Spotter","assigned","spotter","2026-04-03T15:39:12.964Z"
"BET-243","Bug: /api/ghin/debug endpoint is publicly reachable in production","high","backlog","Shank","assigned","non-spotter","2026-04-03T15:33:57.802Z"
"BET-241","Backend follow-up: activate post-capture 5-email drip sequence","high","backlog","Shank","assigned","non-spotter","2026-04-03T15:32:42.901Z"
"BET-240","Backend follow-up: lock internal routes and confirm private access policy","high","backlog","Shank","assigned","non-spotter","2026-04-03T15:32:42.857Z"
"BET-239","CMO handoff: pricing consistency signoff across public pages","high","backlog","Caddie","assigned","non-spotter","2026-04-03T15:32:42.848Z"
"BET-212","Unblock Shank checkout conflicts on assigned backend tickets","high","blocked","Chip","assigned","non-spotter","2026-04-03T15:31:47.883Z"
"BET-232","Spotter QA: links + CTA destination regression","high","backlog","","unassigned","non-spotter","2026-04-03T15:27:46.148Z"
"BET-231","Shank backend verification: route hardening + drip settings","high","backlog","","unassigned","non-spotter","2026-04-03T15:27:46.060Z"
"BET-230","Caddie QA: pricing + CTA consistency audit","high","backlog","","unassigned","non-spotter","2026-04-03T15:27:46.025Z"
"BET-229","SMOKE TEST: Verify all agent code changes don't break the site","high","todo","Spotter","assigned","spotter","2026-04-03T15:23:56.154Z"
"BET-216","Mitigation: normalize exposed private-page pricing copy to canonical offer","high","todo","Founding Engineer","assigned","non-spotter","2026-04-03T15:16:29.648Z"
"BET-133","Normalize outreach/email pricing language to $149 season pass (not per-event where applicable)","high","in_review","Birdie","assigned","non-spotter","2026-04-03T15:16:01.091Z"
"BET-195","Unify pricing + checkout entry points across public pages ($32/$149 canonical)","high","in_progress","Founding Engineer","assigned","non-spotter","2026-04-03T15:14:10.774Z"
"BET-54","Verify Resend domain and test welcome email delivery","high","blocked","Spotter","assigned","spotter","2026-04-03T15:10:30.087Z"
"BET-198","WRITE CODE: Build course lead scraper script","high","todo","Shank","assigned","non-spotter","2026-04-03T15:02:39.157Z"
"BET-89","Shareable settlement card: screenshot-optimized HTML for group chat","high","in_review","Founding Engineer","assigned","non-spotter","2026-04-03T15:00:46.576Z"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","Spotter","assigned","spotter","2026-04-03T15:00:09.800Z"
"BET-185","Backend: wire /api/checkout + drip cadence + webhook/D1 payment marking","high","blocked","Shank","assigned","non-spotter","2026-04-03T14:57:40.735Z"
"BET-206","Bug: Affiliate dashboard link from /pro signup drops referral code via /affiliate redirect","high","backlog","Founding Engineer","assigned","non-spotter","2026-04-03T14:56:34.547Z"
"BET-205","Bug: /pro mobile violates 56px touch target and minimum text size requirements","high","backlog","Divot","assigned","non-spotter","2026-04-03T14:56:24.084Z"
"BET-203","Bug: /pro course search returns no results due API response mismatch","high","backlog","Divot","assigned","non-spotter","2026-04-03T14:56:03.004Z"
"BET-53","Verify and test Stripe end-to-end: create event, pay, activate","high","blocked","Spotter","assigned","spotter","2026-04-03T14:53:06.958Z"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","Spotter","assigned","spotter","2026-04-03T14:44:50.377Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","Shank","assigned","non-spotter","2026-04-03T14:44:44.360Z"
"BET-188","Bug: /guides/ breadcrumb link 404s from live guide pages","high","backlog","Founding Engineer","assigned","non-spotter","2026-04-03T14:44:20.000Z"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","Spotter","assigned","spotter","2026-04-03T14:42:16.425Z"
"BET-145","P0 FIX: vegas/banker/bloodsome bets never settle — trace and fix","high","blocked","Shank","assigned","non-spotter","2026-04-03T14:41:49.253Z"
"BET-24","Implement Sprint 3 cards + round-scoring UX from approved design spec","high","in_review","Spotter","assigned","spotter","2026-04-03T14:40:26.785Z"
"BET-131","Bug: /pricing still shows $9.99/mo Season Pass conflicting with canonical pricing","high","backlog","Founding Engineer","assigned","non-spotter","2026-04-03T14:35:04.533Z"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","Spotter","assigned","spotter","2026-04-03T14:32:15.112Z"
"BET-65","Build automated scramble season outreach campaign (May-Oct)","high","blocked","Birdie","assigned","non-spotter","2026-04-03T14:19:06.773Z"
"BET-77","Configure Cloudflare Email Routing for hello@betwaggle.com","high","blocked","Wedge","assigned","non-spotter","2026-04-03T14:19:02.323Z"
"BET-115","Frontend security: remove unsafe innerHTML in create wizard banners","high","backlog","Divot","assigned","non-spotter","2026-04-03T14:19:01.095Z"
"BET-116","Reliability: enforce Resend delivery checks in drip pipeline + tests","high","backlog","Founding Engineer","assigned","non-spotter","2026-04-03T14:18:59.632Z"
"BET-124","Bug: /guides internal links return 404 from guide article pages","high","backlog","Founding Engineer","assigned","non-spotter","2026-04-03T14:18:53.944Z"
"BET-105","Generate state-specific cold emails for AZ resort golf","high","blocked","Birdie","assigned","non-spotter","2026-04-03T14:18:39.208Z"
"BET-151","QA: Verify all 5 redesigned game cards render correctly","high","todo","Spotter","assigned","spotter","2026-04-03T14:18:20.756Z"
"BET-149","Generate cold emails for CA golf (Palm Springs/Bay Area)","high","todo","Birdie","assigned","non-spotter","2026-04-03T14:18:10.843Z"
"BET-155","P0 FIX: Vegas/Banker/Bloodsome bets never settle","high","blocked","Shank","assigned","non-spotter","2026-04-03T14:17:48.306Z"
"BET-174","Backend handoff: wire/verify 5-email post-capture drip and private route gate check","high","backlog","Shank","assigned","non-spotter","2026-04-03T14:17:38.148Z"
"BET-175","QA handoff: verify pricing copy and CTA/link paths on core marketing pages","high","backlog","Spotter","assigned","spotter","2026-04-03T14:17:35.336Z"
"BET-165","Write cold email sequence for SC/NC Pinehurst/Kiawah corridor","high","blocked","Birdie","assigned","non-spotter","2026-04-03T14:17:33.918Z"
"BET-84","Stitch: Match Play card 'The Duel' — head-to-head confrontation layout","high","in_review","Spotter","assigned","spotter","2026-04-03T12:57:07.709Z"
"BET-90","Venmo deep links on settlement: pre-filled pay buttons per player","high","in_review","Founding Engineer","assigned","non-spotter","2026-04-03T12:52:03.276Z"
"BET-81","Stitch: Skins card 'The Auction House' — gold pot stacking, trophy reveals","high","in_review","Spotter","assigned","spotter","2026-04-03T12:47:53.460Z"
"BET-82","Stitch: Nassau card 'The Triple Crown' — three stacked linen bet sections","high","in_review","Spotter","assigned","spotter","2026-04-03T12:46:33.622Z"
"BET-83","Stitch: Wolf card 'The War Room' — circular rotation wheel, alliance timeline","high","in_review","Spotter","assigned","spotter","2026-04-03T12:44:59.711Z"
"BET-118","Restrict internal routes and remove public access to /marketing, /gtm, /ads","high","backlog","Shank","assigned","non-spotter","2026-04-03T12:37:48.841Z"
"BET-44","Stitch: Redesign homepage hero with Heritage Sporting design system","high","in_review","local-board","assigned","non-spotter","2026-04-02T23:34:10.352Z"
"BET-62","Build course lead database from courses API + state/region segmentation","high","todo","Shank","assigned","non-spotter","2026-04-02T23:25:52.590Z"
