"identifier","priority","status","title","assignee","created_by_spotter","p0_p1","assignment_state","updated_at"
"BET-472","high","blocked","Bug: Settlement math not zero-sum for skins and wolf tie scenarios across 2/3/4/8 players","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T22:42:04.009Z"
"BET-441","high","blocked","QA: Verify settlement stays exactly zero-sum across all bet types and partial rounds","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T22:40:51.729Z"
"BET-432","high","blocked","Bug: Skins tie settlement breaks zero-sum and logs uncorrectable violation","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T22:36:25.405Z"
"BET-433","high","blocked","Bug: Nassau partial-round final states never settle (bets remain active after 9 holes)","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T21:35:02.611Z"
"BET-458","high","blocked","Bug: runSettlementTests() produces widespread zero-sum failures due to fixture selection mismatch","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T21:20:24.706Z"
"BET-137","high","blocked","Bug: partial-round settlement logic is not used in production settlement path","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","yes","yes","assigned","2026-04-03T20:54:27.182Z"
"BET-444","high","blocked","Bug: Mobile Safari/Chrome QA blocked because browser runtime deps are missing in Spotter runner","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T20:49:37.835Z"
"BET-438","high","blocked","Bug: Settlement payout math omits Wolf, Match Play, Best Ball, and Stableford from settlement totals","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T20:41:06.127Z"
"BET-403","high","blocked","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T20:35:56.252Z"
"BET-391","high","blocked","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T20:25:00.802Z"
"BET-366","high","todo","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T18:59:01.331Z"
"BET-268","high","blocked","Spotter QA validation for Sprint 3 game flow UX","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T18:31:54.965Z"
"BET-349","high","in_progress","Bug: Homepage /cards/* links return 404 from game format section","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T18:23:07.648Z"
"BET-334","high","in_progress","Bug: Public pricing page /pricing/ returns 404 Event not found","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T17:46:42.045Z"
"BET-293","high","in_review","Mobile-first betting card readability + tap-target polish on create flow","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T17:44:17.607Z"
"BET-222","high","in_progress","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","35944e2b-5356-4b0c-8a24-6a850299b788","no","yes","assigned","2026-04-03T16:52:08.715Z"
"BET-24","high","in_review","Implement Sprint 3 cards + round-scoring UX from approved design spec","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T16:45:43.528Z"
"BET-281","high","todo","Bug: /pricing/ returns 404 Event Not Found","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T16:23:49.664Z"
"BET-267","high","todo","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T16:04:34.140Z"
"BET-266","high","in_progress","Bug: /create still uses legacy $29 event pricing in live cost calculations","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T16:02:30.729Z"
"BET-54","high","blocked","Verify Resend domain and test welcome email delivery","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T15:10:30.087Z"
"BET-53","high","blocked","Verify and test Stripe end-to-end: create event, pay, activate","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T14:53:06.958Z"
"BET-161","high","blocked","SMOKE TEST: All 7 demo pages load with real data","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T14:44:50.377Z"
"BET-160","high","blocked","SMOKE TEST: Course search in Quick Start and create wizard","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T14:32:15.112Z"
"BET-84","high","in_review","Stitch: Match Play card 'The Duel' — head-to-head confrontation layout","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T12:57:07.709Z"
"BET-81","high","in_review","Stitch: Skins card 'The Auction House' — gold pot stacking, trophy reveals","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T12:47:53.460Z"
"BET-82","high","in_review","Stitch: Nassau card 'The Triple Crown' — three stacked linen bet sections","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T12:46:33.622Z"
"BET-83","high","in_review","Stitch: Wolf card 'The War Room' — circular rotation wheel, alliance timeline","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T12:44:59.711Z"
"BET-519","medium","todo","Bug: Both /affiliate/ and /affiliates/ are live entry routes (duplicate canonical path)","35944e2b-5356-4b0c-8a24-6a850299b788","yes","no","assigned","2026-04-03T23:37:52.329Z"
"BET-492","medium","todo","Bug: Both /affiliate/ and /affiliates/ are live (route duplication)","35944e2b-5356-4b0c-8a24-6a850299b788","yes","no","assigned","2026-04-03T23:16:00.854Z"
"BET-463","medium","blocked","Bug: Settlement zero-sum validation fails across skins, match_play, stableford, and partial-round scenarios","65731875-1c15-4442-883d-af847186f81e","yes","no","assigned","2026-04-03T21:31:08.367Z"
"BET-396","medium","todo","Both /affiliate/ and /affiliates/ resolve as live pages (canonical duplication)","35944e2b-5356-4b0c-8a24-6a850299b788","yes","no","assigned","2026-04-03T19:42:21.214Z"
"BET-357","medium","in_review","Bug: Mobile touch target and text-size standards fail on key marketing pages","928d5a8b-37f5-43b7-8648-e3ad68978b9d","yes","no","assigned","2026-04-03T19:16:16.614Z"
"BET-211","medium","blocked","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","ec12d3cf-fa06-4c43-8160-dc515399e9f7","yes","no","assigned","2026-04-03T18:11:06.232Z"
"BET-164","medium","blocked","SMOKE TEST: Settlement ceremony and share card","87fcc8b8-b4b9-4a33-8358-c49179985317","no","no","assigned","2026-04-03T16:46:00.279Z"
"BET-237","medium","todo","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","35944e2b-5356-4b0c-8a24-6a850299b788","yes","no","assigned","2026-04-03T16:31:13.165Z"
"BET-236","medium","in_review","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","928d5a8b-37f5-43b7-8648-e3ad68978b9d","yes","no","assigned","2026-04-03T16:28:20.439Z"
"BET-125","medium","todo","Bug: Mobile horizontal scrolling on homepage and game rule pages","35944e2b-5356-4b0c-8a24-6a850299b788","yes","no","assigned","2026-04-03T14:19:45.770Z"
"BET-127","medium","todo","Bug: Mobile touch targets below required 56px across primary CTAs/nav","35944e2b-5356-4b0c-8a24-6a850299b788","yes","no","assigned","2026-04-03T14:19:44.576Z"
"BET-128","medium","todo","Bug: Mobile typography below minimum readability threshold (10–11px text)","35944e2b-5356-4b0c-8a24-6a850299b788","yes","no","assigned","2026-04-03T14:19:43.243Z"
"BET-85","medium","in_review","Stitch: Scramble card 'The Team Trophy' — pennant banners, CTP/Long Drive","87fcc8b8-b4b9-4a33-8358-c49179985317","no","no","assigned","2026-04-03T12:49:19.715Z"
