issue_identifier,title,priority,status,assigned_to,assignment_state,severity_bucket,last_updated_utc
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:02:30.729Z"
"BET-263","Bug: Core marketing pages fail 56px touch target and minimum text-size standard on mobile","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T15:51:33.511Z"
"BET-251","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P0","2026-04-03T15:43:16.120Z"
"BET-255","Bug: Internal links resolve to templated placeholder URLs that 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T15:42:54.598Z"
"BET-253","Bug: Best ball settlement path missing from computeRoundPnL (returns $0 for all players)","high","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T15:42:54.527Z"
"BET-252","Bug: Wolf settlement can be non-zero-sum in computeRoundPnL for 4+ player states","high","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T15:42:54.500Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T15:28:33.110Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T15:04:46.893Z"
"BET-206","Bug: Affiliate dashboard link from /pro signup drops referral code via /affiliate redirect","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T14:56:34.547Z"
"BET-205","Bug: /pro mobile violates 56px touch target and minimum text size requirements","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T14:56:24.084Z"
"BET-203","Bug: /pro course search returns no results due API response mismatch","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T14:56:03.004Z"
"BET-188","Bug: /guides/ breadcrumb link 404s from live guide pages","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T14:44:20.000Z"
"BET-131","Bug: /pricing still shows $9.99/mo Season Pass conflicting with canonical pricing","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T14:35:04.533Z"
"BET-124","Bug: /guides internal links return 404 from guide article pages","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T14:18:53.944Z"
